subject id,jpg,Image,SDSS information,LEDA information,RA,DEC
47,SubjectSet_20/587739406765195471.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=140.75936286&dec=26.29835183&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739406765195471&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j092302.24%2B261754.0&ob=ra,140.75936286,26.29835183
48,SubjectSet_20/588017721177210990.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=170.53084355&dec=41.61279544&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588017721177210990&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j112207.40%2B413646.0&ob=ra,170.53084355,41.61279544
49,SubjectSet_20/587739651034054930.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=238.13326017&dec=20.21629837&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739651034054930&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j155231.98%2B201258.6&ob=ra,238.13326017,20.21629837
50,SubjectSet_20/587735666383454419.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=225.24542679&dec=50.46055193&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587735666383454419&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j150058.90%2B502737.9&ob=ra,225.24542679,50.46055193
51,SubjectSet_20/587736914604785830.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=219.56065693&dec=11.5625084&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587736914604785830&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j143814.55%2B113345.0&ob=ra,219.56065693,11.5625084
52,SubjectSet_20/587732050018107546.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=138.66362872&dec=47.69341943&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587732050018107546&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j091439.27%2B474136.3&ob=ra,138.66362872,47.69341943
53,SubjectSet_20/587726031698657312.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=150.20058637&dec=1.23712886&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587726031698657312&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j100048.14%2B011413.6&ob=ra,150.20058637,1.23712886
54,SubjectSet_20/587729159518224734.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=228.99365801&dec=3.99919022&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587729159518224734&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j151558.47%2B035957.0&ob=ra,228.99365801,3.99919022
55,SubjectSet_20/587739506089066643.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=207.75527878&dec=30.64873157&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739506089066643&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j135101.26%2B303855.4&ob=ra,207.75527878,30.64873157
56,SubjectSet_20/587735241177301126.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=136.91199175&dec=34.00609102&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587735241177301126&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j090738.87%2B340021.9&ob=ra,136.91199175,34.00609102
57,SubjectSet_20/587741707809456272.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=175.75786109&dec=26.25840139&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587741707809456272&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j114301.88%2B261530.2&ob=ra,175.75786109,26.25840139
58,SubjectSet_20/587735349104738339.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=167.66018918&dec=14.91066816&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587735349104738339&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j111038.44%2B145438.4&ob=ra,167.66018918,14.91066816
59,SubjectSet_20/587737826752331784.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=126.25458886&dec=55.48964588&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587737826752331784&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j082501.10%2B552922.7&ob=ra,126.25458886,55.48964588
60,SubjectSet_20/587739647818268795.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=165.76585694&dec=31.36694746&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739647818268795&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j110303.80%2B312201.0&ob=ra,165.76585694,31.36694746
61,SubjectSet_20/587724648184545401.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=182.86606897&dec=-3.43367863&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587724648184545401&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j121127.85-032601.2 </font></h2>%2B<td colspan=2><h2><font color=#000086>SDSS J121127.85-032601.2&ob=ra,182.86606897,-3.43367863
62,SubjectSet_20/587732771059269739.jpg,http://skyservice.pha.jhu.edu/DR7/ImgCutout/getjpeg.aspx?ra=191.19050367&dec=9.72758199&scale=0.19806&width=512&height=512&opt=&query=,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587732771059269739&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j124445.72%2B094339.2&ob=ra,191.19050367,9.72758199
