Dr, RA, DA, spiral_weighted, loose_plus_medium, arms_tight, arms_medium, arms_loose, irregular 
0,181.448593,24.115736,0.869176,0.85,0.15,0.625,0.225,0.158
0,134.368942,28.616768,0.959,0.851,0.149,0.617,0.234,0
0,193.865753,50.837673,0.788938,0.852,0.148,0.333,0.519,0
0,165.293915,24.177578,0.809975,0.853,0.147,0.618,0.235,0.286
0,191.504334,28.812893,0.944,0.853,0.147,0.559,0.294,0.143
0,207.196564,7.451708,0.924945,0.854,0.146,0.659,0.195,0.1
0,205.373581,23.166946,0.938952,0.857,0.143,0.571,0.286,0
0,250.646454,22.576561,0.87291,0.857,0.143,0.524,0.333,0
0,167.214004,44.432735,0.934122,0.857,0.143,0.714,0.143,0
0,222.182053,62.262928,0.77754,0.857,0.143,0.393,0.464,0.111
0,140.643005,-0.391839,0.737031,0.857,0.143,0.536,0.321,0
0,242.930267,20.781427,0.757474,0.858,0.142,0.677,0.181,0.167
0,177.93042,1.991285,1,0.861,0.14,0.721,0.14,0.286
0,133.745514,26.490063,0.818669,0.861,0.139,0.639,0.222,0
0,200.376801,37.731308,0.74342,0.862,0.138,0.207,0.655,0.222
0,178.497269,22.223684,0.743482,0.862,0.138,0.759,0.103,0.2
0,178.405624,-0.600901,0.78369,0.862,0.138,0.345,0.517,0.111
0,128.574417,59.418289,0.815287,0.864,0.136,0.5,0.364,0
0,206.658539,23.196039,0.974,0.865,0.135,0.676,0.189,0.25
0,148.481338,11.817254,0.788508,0.866,0.134,0.598,0.268,0
0,224.813644,8.489158,0.702222,0.867,0.133,0.567,0.3,0.143
0,201.184326,1.412384,0.937992,0.867,0.133,0.467,0.4,0
0,181.644119,58.946369,0.922378,0.868,0.132,0.579,0.289,0.25
0,224.494156,34.115772,0.7619,0.868,0.132,0.342,0.526,0.045
0,247.340134,35.511387,0.958,0.869,0.13,0.652,0.217,0.217
0,173.761337,59.903046,0.860124,0.871,0.129,0.516,0.355,0
0,127.245316,30.457993,0.773087,0.871,0.129,0.677,0.194,0
0,172.423477,60.500198,0.922737,0.872,0.129,0.704,0.168,0.195
0,202.295685,40.095753,0.996004,0.872,0.128,0.846,0.026,0
0,143.763534,34.284283,0.88908,0.875,0.125,0.7,0.175,0
0,137.484741,65.435989,0.705756,0.875,0.125,0.25,0.625,0
0,190.456741,29.544884,0.684866,0.875,0.125,0.458,0.417,0.111
0,124.889534,45.371262,0.763865,0.875,0.125,0.531,0.344,0
0,210.722549,40.423531,1,0.878,0.122,0.61,0.268,0
0,136.616608,33.497978,0.94,0.879,0.121,0.424,0.455,0
0,214.870041,30.085564,0.713946,0.88,0.12,0.48,0.4,0.083
0,125.54451,3.268045,0.912474,0.881,0.119,0.667,0.214,0
0,220.65123,29.650967,0.918566,0.882,0.118,0.676,0.206,0
0,245.142746,21.202536,0.82875,0.883,0.118,0.618,0.265,0
0,197.006897,26.765373,0.931618,0.884,0.116,0.791,0.093,0.123
0,138.448868,32.876705,0.683829,0.884,0.115,0.269,0.615,0
0,236.158646,-1.61575,0.764226,0.885,0.115,0.577,0.308,0
0,155.565582,20.997787,0.91854,0.886,0.114,0.686,0.2,0
0,192.888641,26.769815,0.897684,0.887,0.114,0.523,0.364,0.294
0,181.788376,25.640703,0.923377,0.889,0.111,0.583,0.306,0.08
0,243.09845,35.174957,0.973,0.889,0.111,0.75,0.139,0.074
0,208.846222,54.147049,0.818244,0.889,0.111,0.5,0.389,0.2
0,244.97374,46.883533,0.958441,0.891,0.109,0.587,0.304,0.154
0,141.916031,51.400398,0.832938,0.892,0.108,0.703,0.189,0.156
0,187.621948,62.930935,0.855871,0.893,0.107,0.286,0.607,0
0,170.842239,21.614704,1,0.894,0.106,0.745,0.149,0
0,141.191498,2.897563,0.69445,0.895,0.105,0.737,0.158,0.086
0,237.231979,38.39537,0.93408,0.896,0.104,0.625,0.271,0
0,157.085693,21.882069,0.857982,0.896,0.103,0.448,0.448,0
0,157.507721,57.578041,0.967,0.897,0.103,0.552,0.345,0.1
0,230.820755,10.775815,0.967,0.897,0.103,0.483,0.414,0.25
0,352.405701,0.12948,1,0.899,0.101,0.671,0.228,0
0,132.625855,29.941753,0.975,0.9,0.1,0.7,0.2,0
0,147.415375,36.65617,0.71442,0.9,0.1,0.4,0.5,0.143
0,135.894058,41.710117,0.975024,0.901,0.099,0.406,0.495,0.267
0,237.734757,54.683903,1,0.903,0.098,0.683,0.22,0.2
0,203.103256,29.084717,0.704455,0.903,0.097,0.387,0.516,0.2
0,214.608978,1.356075,0.688074,0.904,0.097,0.194,0.71,0.222
0,157.408371,37.178368,0.7,0.905,0.095,0.667,0.238,0.1
0,209.700028,3.633484,0.841224,0.906,0.094,0.312,0.594,0
0,219.337814,57.601307,0.941,0.906,0.094,0.781,0.125,0
0,221.066528,7.323214,0.977,0.907,0.093,0.791,0.116,0
