subject id,jpg,Image,SDSS information,LEDA information,RA,DEC
34,SubjectSet_28/587739720289812545S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=192.02477373&dec=29.44317207&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739720289812545&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j124805.94%2B292635.4&ob=ra,192.02477373,29.44317207
35,SubjectSet_28/587738195040075876S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=118.42343684&dec=50.22280994&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587738195040075876&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j075341.62%2B501322.1&ob=ra,118.42343684,50.22280994
36,SubjectSet_28/587739721898131537S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=186.10859326&dec=30.91664755&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739721898131537&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j122426.06%2B305459.9&ob=ra,186.10859326,30.91664755
37,SubjectSet_28/587739131891548451D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=237.37122957&dec=24.87691883&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739131891548451&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j154929.09%2B245236.9&ob=ra,237.37122957,24.87691883
38,SubjectSet_28/587738410859692206D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=144.22272339&dec=11.71687163&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587738410859692206&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j093653.45%2B114300.7&ob=ra,144.22272339,11.71687163
39,SubjectSet_28/587745243089666068D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=146.65197908&dec=15.12997961&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587745243089666068&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j094636.47%2B150747.9&ob=ra,146.65197908,15.12997961
40,SubjectSet_28/587731520668631247S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=133.2717165&dec=40.49232916&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587731520668631247&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j085305.21%2B402932.3&ob=ra,133.2717165,40.49232916
41,SubjectSet_28/587732052709015739S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=139.73366316&dec=41.41617211&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587732052709015739&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j091856.07%2B412458.2&ob=ra,139.73366316,41.41617211
42,SubjectSet_28/587726016156991665D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=212.73247307&dec=2.85234082&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587726016156991665&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j141055.79%2B025108.4&ob=ra,212.73247307,2.85234082
43,SubjectSet_28/588023046942359774D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=141.72495916&dec=20.83678819&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588023046942359774&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j092653.99%2B205012.4&ob=ra,141.72495916,20.83678819
44,SubjectSet_28/588015510355902496D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=29.2398855&dec=0.91142091&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588015510355902496&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j015657.57%2B005441.1&ob=ra,29.2398855,0.91142091
45,SubjectSet_28/587738197190181046S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=120.97254667&dec=56.26511601&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587738197190181046&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j080353.41%2B561554.4&ob=ra,120.97254667,56.26511601
46,SubjectSet_28/587732483808886949S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=139.14539732&dec=39.98761874&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587732483808886949&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j091634.89%2B395915.4&ob=ra,139.14539732,39.98761874
47,SubjectSet_28/587738197189722386S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=120.02965896&dec=55.34967369&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587738197189722386&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j080007.11%2B552058.8&ob=ra,120.02965896,55.34967369
48,SubjectSet_28/587738947220930583S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=185.79105999&dec=39.88904145&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587738947220930583&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j122309.85%2B395320.5&ob=ra,185.79105999,39.88904145
49,SubjectSet_28/587731681194934384S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=139.18062624&dec=45.82695843&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587731681194934384&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j091643.35%2B454937.0&ob=ra,139.18062624,45.82695843
50,SubjectSet_28/587739377767874786D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=125.13854189&dec=20.11193379&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739377767874786&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j082033.25%2B200642.9&ob=ra,125.13854189,20.11193379
51,SubjectSet_28/587739826588352592D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=208.09539779&dec=24.46772096&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739826588352592&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j135222.89%2B242803.7&ob=ra,208.09539779,24.46772096
52,SubjectSet_28/587745243085799481S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=137.77550989&dec=13.12163722&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587745243085799481&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j091106.12%2B130717.8&ob=ra,137.77550989,13.12163722
53,SubjectSet_28/587739721372663905D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=215.52821684&dec=26.99684635&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587739721372663905&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j142206.77%2B265948.6&ob=ra,215.52821684,26.99684635
54,SubjectSet_28/587732483296329862S.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=217.34017014&dec=45.09767201&size=512&layer=sdss2&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587732483296329862&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j142921.64%2B450551.6&ob=ra,217.34017014,45.09767201
55,SubjectSet_28/588017703482884331D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=216.20925404&dec=10.62783776&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=588017703482884331&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j142450.22%2B103740.2&ob=ra,216.20925404,10.62783776
56,SubjectSet_28/587745403070775649D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=130.91183943&dec=10.51658653&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587745403070775649&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j084338.84%2B103059.7&ob=ra,130.91183943,10.51658653
57,SubjectSet_28/587722982281904263D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=191.33019142&dec=-0.76044969&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587722982281904263&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j124519.24-004537.6 </font></h2>%2B<td colspan=2><h2><font color=#000086>SDSS J124519.24-004537.6&ob=ra,191.33019142,-0.76044969
58,SubjectSet_28/587742014340071528D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=142.34111944&dec=17.26952058&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587742014340071528&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j092921.86%2B171610.2&ob=ra,142.34111944,17.26952058
59,SubjectSet_28/587729777441243404D.jpeg,http://legacysurvey.org/viewer/fits-cutout?ra=207.5298364&dec=-2.42049894&size=512&layer=decals-dr5&pixscale=0.227&bands=g,http://skyserver.sdss.org/dr7/en/tools/explore/summary.asp?id=587729777441243404&spec=0x01c2cac422c00000,http://leda.univ-lyon1.fr/ledacat.cgi?sdss%20j135007.16-022513.7 </font></h2>%2B<td colspan=2><h2><font color=#000086>SDSS J135007.16-022513.7&ob=ra,207.5298364,-2.42049894
